SITE_NAME,Swipe_Checkbox?,Imported count,Screenshot name,LOGO Replaced,CSS saved,Redirect done,Undo Swipe,Undo CSS,Undo Redirect,PD_Site_URL,Merchant Code
PUNJ2003,UNCH,1,240826-211221_PUNJ2003_after.png,Yes,Yes,Yes,NA,NA,NA,http://p5zlgintc01:16020/PayDirect/Merchant/Edit/575,35EDM-CRANG-CRUTL-W
PTNJ2003,UNCH,1,240826-211225_PTNJ2003_after.png,Yes,Yes,Yes,NA,NA,NA,http://p5zlgintc01:16020/PayDirect/Merchant/Edit/577,35EDM-CRANF-CRTAX-W
PUPABUCK,UNCH,1,240826-211229_PUPABUCK_after.png,Yes,Yes,Yes,NA,NA,NA,http://p5zlgintc01:16020/PayDirect/Merchant/Edit/578,35EDM-BUCKI-BUUTL-W
PTNJ0315,UNCH,1,240826-211233_PTNJ0315_after.png,Yes,Yes,Yes,NA,NA,NA,http://p5zlgintc01:16020/PayDirect/Merchant/Edit/579,35EDM-FLORE-FLTAX-W
PUNJ0315,UNCH,1,240826-211238_PUNJ0315_after.png,Yes,Yes,Yes,NA,NA,NA,http://p5zlgintc01:16020/PayDirect/Merchant/Edit/580,35EDM-FLORF-FLUTL-W
PUNJ2012,UNCH,1,240826-211242_PUNJ2012_after.png,Yes,Yes,Yes,NA,NA,NA,http://p5zlgintc01:16020/PayDirect/Merchant/Edit/581,35EDM-PLANF-PLUTL-W
PTNJ0436,UNCH,1,240826-211246_PTNJ0436_after.png,Yes,Yes,Yes,NA,NA,NA,http://p5zlgintc01:16020/PayDirect/Merchant/Edit/582,35EDM-WINSL-WITAX-W
PUNJ0436,UNCH,1,240826-211251_PUNJ0436_after.png,Yes,Yes,Yes,NA,NA,NA,http://p5zlgintc01:16020/PayDirect/Merchant/Edit/583,35EDM-WINSM-WIUTL-W
PTNJ1350,UNCH,1,240826-211255_PTNJ1350_after.png,Yes,Yes,Yes,NA,NA,NA,http://p5zlgintc01:16020/PayDirect/Merchant/Edit/584,35EDM-UNION-UNTAX-W
PUNJ1350,UNCH,1,240826-211259_PUNJ1350_after.png,Yes,Yes,Yes,NA,NA,NA,http://p5zlgintc01:16020/PayDirect/Merchant/Edit/585,35EDM-UNIOO-UNUTL-W
PTNC600,UNCH,1,240826-211303_PTNC600_after.png,Yes,Yes,Yes,NA,NA,NA,http://p5zlgintc01:16020/PayDirect/Merchant/Edit/586,35EDM-INDIA-INTAX-W
PTNJ1312,UNCH,1,240826-211307_PTNJ1312_after.png,Yes,Yes,Yes,NA,NA,NA,http://p5zlgintc01:16020/PayDirect/Merchant/Edit/587,35EDM-EATON-EATAX-W
PUNJPHUA,UNCH,1,240826-211312_PUNJPHUA_after.png,Yes,Yes,Yes,NA,NA,NA,http://p5zlgintc01:16020/PayDirect/Merchant/Edit/588,35EDM-PINEI-PIUTL-W
PTNJ0122,UNCH,1,240826-211316_PTNJ0122_after.png,Yes,Yes,Yes,NA,NA,NA,http://p5zlgintc01:16020/PayDirect/Merchant/Edit/589,35EDM-VENTN-VETAX-W
PUNJ0122,UNCH,1,240826-211320_PUNJ0122_after.png,Yes,Yes,Yes,NA,NA,NA,http://p5zlgintc01:16020/PayDirect/Merchant/Edit/590,35EDM-VENTO-VEUTL-W
PTNJ1301,UNCH,1,240826-211324_PTNJ1301_after.png,Yes,Yes,Yes,NA,NA,NA,http://p5zlgintc01:16020/PayDirect/Merchant/Edit/591,35EDM-ABERD-ABTAX-W
PUNJ1301,UNCH,1,240826-211328_PUNJ1301_after.png,Yes,Yes,Yes,NA,NA,NA,http://p5zlgintc01:16020/PayDirect/Merchant/Edit/592,35EDM-ABERE-ABUTL-W
PTNJ0512,UNCH,1,240826-211333_PTNJ0512_after.png,Yes,Yes,Yes,NA,NA,NA,http://p5zlgintc01:16020/PayDirect/Merchant/Edit/593,35EDM-WESTC-WETAX-W
PUNJ0512,UNCH,1,240826-211337_PUNJ0512_after.png,Yes,Yes,Yes,NA,NA,NA,http://p5zlgintc01:16020/PayDirect/Merchant/Edit/594,35EDM-WESTD-WEUTL-W
PTNJ1805,UNCH,1,240826-211341_PTNJ1805_after.png,Yes,Yes,Yes,NA,NA,NA,http://p5zlgintc01:16020/PayDirect/Merchant/Edit/595,35EDM-BRANC-BRTAX-W
PUNJ1805,UNCH,1,240826-211345_PUNJ1805_after.png,Yes,Yes,Yes,NA,NA,NA,http://p5zlgintc01:16020/PayDirect/Merchant/Edit/596,35EDM-BRAND-BRUTL-W
PTVAKILM,UNCH,1,240826-211350_PTVAKILM_after.png,Yes,Yes,Yes,NA,NA,NA,http://p5zlgintc01:16020/PayDirect/Merchant/Edit/597,35EDM-KILMA-KITAX-W
PUVAKILM,UNCH,1,240826-211354_PUVAKILM_after.png,Yes,Yes,Yes,NA,NA,NA,http://p5zlgintc01:16020/PayDirect/Merchant/Edit/598,35EDM-KILMB-KIUTL-W
PTNJ1613,UNCH,1,240826-211358_PTNJ1613_after.png,Yes,Yes,Yes,NA,NA,NA,http://p5zlgintc01:16020/PayDirect/Merchant/Edit/601,35EDM-WANAQ-WATAX-W
PUNJ1613,UNCH,1,240826-211403_PUNJ1613_after.png,Yes,Yes,Yes,NA,NA,NA,http://p5zlgintc01:16020/PayDirect/Merchant/Edit/602,35EDM-WANAR-WAUTL-W
PTNJ0305,UNCH,1,240826-211407_PTNJ0305_after.png,Yes,Yes,Yes,NA,NA,NA,http://p5zlgintc01:16020/PayDirect/Merchant/Edit/603,35EDM-BURLI-BUTAX-W
PUNJ0305,UNCH,1,240826-211411_PUNJ0305_after.png,Yes,Yes,Yes,NA,NA,NA,http://p5zlgintc01:16020/PayDirect/Merchant/Edit/604,35EDM-BURLJ-BUUTL-W
PTNJ0119,UNCH,1,240826-211415_PTNJ0119_after.png,Yes,Yes,Yes,NA,NA,NA,http://p5zlgintc01:16020/PayDirect/Merchant/Edit/605,35EDM-PLEAS-PLTAX-W
PUNJ0119,UNCH,1,240826-211419_PUNJ0119_after.png,Yes,Yes,Yes,NA,NA,NA,http://p5zlgintc01:16020/PayDirect/Merchant/Edit/606,35EDM-PLEAT-PLUTL-W
PUPAPOTT,UNCH,1,240826-211424_PUPAPOTT_after.png,Yes,Yes,Yes,NA,NA,NA,http://p5zlgintc01:16020/PayDirect/Merchant/Edit/608,35EDM-POTTS-POUTL-W
PTDE25,UNCH,1,240826-211428_PTDE25_after.png,Yes,Yes,Yes,NA,NA,NA,http://p5zlgintc01:16020/PayDirect/Merchant/Edit/609,35EDM-TOSND-TOTAX-W
PTNJ0820,UNCH,1,240826-211433_PTNJ0820_after.png,Yes,Yes,Yes,NA,NA,NA,http://p5zlgintc01:16020/PayDirect/Merchant/Edit/610,35EDM-WDEPT-WDTAX-W
PUNJ0820,UNCH,1,240826-211437_PUNJ0820_after.png,Yes,Yes,Yes,NA,NA,NA,http://p5zlgintc01:16020/PayDirect/Merchant/Edit/611,35EDM-WDEPU-WDUTL-W
PTNJ1221,UNCH,1,240826-211442_PTNJ1221_after.png,Yes,Yes,Yes,NA,NA,NA,http://p5zlgintc01:16020/PayDirect/Merchant/Edit/612,35EDM-SBRUN-SBTAX-W
PUNJ1221,UNCH,1,240826-211446_PUNJ1221_after.png,Yes,Yes,Yes,NA,NA,NA,http://p5zlgintc01:16020/PayDirect/Merchant/Edit/613,35EDM-SBRUO-SBUTL-W
PTNJ1510,UNCH,1,240826-211450_PTNJ1510_after.png,Yes,Yes,Yes,NA,NA,NA,http://p5zlgintc01:16020/PayDirect/Merchant/Edit/614,35EDM-HARVY-HATAX-W
PUNJ1510,UNCH,1,240826-211454_PUNJ1510_after.png,Yes,Yes,Yes,NA,NA,NA,http://p5zlgintc01:16020/PayDirect/Merchant/Edit/615,35EDM-HARVZ-HAUTL-W
PUDE25,UNCH,1,240826-211458_PUDE25_after.png,Yes,Yes,Yes,NA,NA,NA,http://p5zlgintc01:16020/PayDirect/Merchant/Edit/618,35EDM-TOSNE-ABUTL-W
PUMDCAMB,UNCH,1,240826-211503_PUMDCAMB_after.png,Yes,Yes,Yes,NA,NA,NA,http://p5zlgintc01:16020/PayDirect/Merchant/Edit/622,35EDM-CAMUC-UTILI-W
PUFLLABL,UNCH,1,240826-211507_PUFLLABL_after.png,Yes,Yes,Yes,NA,NA,NA,http://p5zlgintc01:16020/PayDirect/Merchant/Edit/625,35EDM-LABEL-LBUTL-W
PTNJ2019,UNCH,1,240826-211511_PTNJ2019_after.png,Yes,Yes,Yes,NA,NA,NA,http://p5zlgintc01:16020/PayDirect/Merchant/Edit/630,35EDM-UNTWP-UTTAX-W
PUNJ2019,UNCH,1,240826-211515_PUNJ2019_after.png,Yes,Yes,Yes,NA,NA,NA,http://p5zlgintc01:16020/PayDirect/Merchant/Edit/631,35EDM-UNUTL-UTUTL-W
